char1Label,char1Type,relationLabel,char2Label,char2Type
Aetna,Greek nymph,father,Briareus,Hecatoncheires
Eros,personification,father,Zephyrus,Anemoi
Methone,naiad,father,Alcyoneus,Giants
Asterius,Giants,father,Anax,Giants
Hippolytos,Giants,father,Uranus,Greek primordial deity
Anax,Giants,father,Uranus,Greek primordial deity
Pallas,Giants,father,Uranus,Greek primordial deity
Aristaeus,Giants,father,Uranus,Greek primordial deity
Astraios,Giants,father,Uranus,Greek primordial deity
Eurytos,Giants,father,Uranus,Greek primordial deity
Hoplodamus,Giants,father,Uranus,Greek primordial deity
Athos,Giants,father,Uranus,Greek primordial deity
Cottus,Hecatoncheires,father,Uranus,Greek primordial deity
Otus,Giants,father,Uranus,Greek primordial deity
Peloreus,Giants,father,Uranus,Greek primordial deity
Colophonus,Giants,father,Tartarus,Greek primordial deity
Corydon,Giants,father,Tartarus,Greek primordial deity
Effra,Giants,father,Tartarus,Greek primordial deity
Halie,Greek nymph,father,Pontus,Greek primordial deity
Enceladus,Giants,father,Uranus,Greek primordial deity
Damysos,Giants,father,Uranus,Greek primordial deity
Alpos,Giants,father,Uranus,Greek primordial deity
Mimas,Giants,father,Uranus,Greek primordial deity
Clytius,Giants,father,Uranus,Greek primordial deity
Aura,Anemoi,father,Boreas,personification
Hyrpace,Greek nymph,father,Boreas,personification
Thoosa,Greek nymph,father,Phorcys,chthonic deities
Polemos,personification,father,Phorcys,chthonic deities
Eurymedon,Giants,father,Uranus,Greek primordial deity
Oceanus,titan,father,Uranus,Greek primordial deity
Tethys,titan,father,Uranus,Greek primordial deity
Typhon,Giants,father,Tartarus,Greek primordial deity
Aphrodite,goddess,father,Uranus,Greek primordial deity
Aegaeon,Greek water deities,father,Uranus,Greek primordial deity
Aetna,Greek nymph,father,Uranus,Greek primordial deity
Briareus,Hecatoncheires,father,Uranus,Greek primordial deity
Gyges,Hecatoncheires,father,Uranus,Greek primordial deity
Polybotes,Giants,father,Uranus,Greek primordial deity
Ephialtes,Giants,father,Uranus,Greek primordial deity
Porphyrion,Giants,father,Uranus,Greek primordial deity
Glauce,Greek nymph,father,Uranus,Greek primordial deity
Gration,Giants,father,Uranus,Greek primordial deity
Alcyoneus,Giants,father,Uranus,Greek primordial deity
Nemesis,Okeanid,father,Erebos,Greek primordial deity
Uranus,Greek primordial deity,father,Chaos,Greek primordial deity
Gaia,Greek primordial deity,father,Chaos,Greek primordial deity
Eros,personification,father,Chaos,Greek primordial deity
Erebos,Greek primordial deity,father,Chaos,Greek primordial deity
Nyx,goddess,father,Chaos,Greek primordial deity
Eros,personification,father,Erebos,Greek primordial deity
Aether,Greek primordial deity,father,Erebos,Greek primordial deity
Uranus,Greek primordial deity,father,Aether,Greek primordial deity
Gaia,Greek primordial deity,father,Aether,Greek primordial deity
Eros,personification,father,Aether,Greek primordial deity
Chaos,Greek primordial deity,father,Chronos,Greek primordial deity
Enceladus,Giants,father,Tartarus,Greek primordial deity
Emphytus,Giants,father,Tartarus,Greek primordial deity
Hybris,daemon,father,Erebos,Greek primordial deity
Thalassa,Greek primordial deity,father,Aether,Greek primordial deity
Phorcys,chthonic deities,father,Pontus,Greek primordial deity
Lycus,Telchines,father,Pontus,Greek primordial deity
Echidna,drakaina,father,Phorcys,chthonic deities
Cronus,titan,father,Uranus,Greek primordial deity
Mnemosyne,titan,father,Uranus,Greek primordial deity
Rhea,titan,father,Uranus,Greek primordial deity
Themis,titan,father,Uranus,Greek primordial deity
Hyperion,titan,father,Uranus,Greek primordial deity
Iapetos,titan,father,Uranus,Greek primordial deity
Coeus,titan,father,Uranus,Greek primordial deity
Phoebe,titan,father,Uranus,Greek primordial deity
Theia,titan,father,Uranus,Greek primordial deity
Kreios,titan,father,Uranus,Greek primordial deity
Dione,titan,father,Uranus,Greek primordial deity
Damon,Telchines,father,Pontus,Greek primordial deity
Geras,allegorical Greek deity,father,Erebos,Greek primordial deity
Aergia,Greek deity,father,Aether,Greek primordial deity
Nereus,Greek water deities,father,Pontus,Greek primordial deity
Ceto,Greek water deities,father,Pontus,Greek primordial deity
Thaumas,Greek water deities,father,Pontus,Greek primordial deity
Aegaeon,Greek water deities,father,Pontus,Greek primordial deity
Eurybia,Greek water deities,father,Pontus,Greek primordial deity
Ananke,allegory,father,Chronos,Greek primordial deity
Chronos,Greek primordial deity,father,Hydros,Greek primordial deity
Ananke,allegory,father,Hydros,Greek primordial deity
Pothos,mythological Greek character,father,Zephyrus,Anemoi
Echidna,drakaina,father,Tartarus,Greek primordial deity
Charon,psychopomp,father,Erebos,Greek primordial deity
Eris,Greek deity,father,Erebos,Greek primordial deity
Hypnos,Greek deity,father,Erebos,Greek primordial deity
Hemera,goddess,father,Erebos,Greek primordial deity
Thanatos,death deity,father,Erebos,Greek primordial deity
Eleos,Greek deity,father,Erebos,Greek primordial deity
Dolos,Greek deity,father,Aether,Greek primordial deity
