n,r,m
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: mother}],"(:Character {id: Selene, label: Selene, type: goddess})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: sibling}],"(:Character {id: Ersa, label: Ersa, type: goddess})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Pandia, label: Pandia, type: lunar deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: spouse}],"(:Character {id: Hypnos, label: Hypnos, type: Greek deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Eurynome, label: Eurynome, type: Okeanid})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Dionysus, label: Dionysus, type: nature deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Pasithea, label: Pasithea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: sibling}],"(:Character {id: Carpo, label: Carpo, type: Greek deity})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Thallo, label: Thallo, type: mythological Greek character})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Thalia, label: Thalia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Hephaestus, label: Hephaestus, type: Greek deity})"
