id,label,type
Pandia,Pandia,lunar deity
Pasithea,Pasithea,Greek deity
Thallo,Thallo,mythological Greek character
Thalia,Thalia,Greek deity
Hebe,Hebe,Olympian god
Hecate,Hecate,goddess
Zagreus,Zagreus,Greek deity
Calligeneia,Calligeneia,mythological Greek character
Adrasteia,Adrasteia,Greek deity
Eirene,Eirene,Greek deity
Angelos,Angelos,Greek deity
Caerus,Caerus,Greek deity
Melinoe,Melinoe,Greek deity
Athena,Athena,Olympian god
Apollo,Apollo,Greek deity
Artemis,Artemis,Olympian god
Basileia,Basileia,Greek deity
Ares,Ares,Greek deity
Dionysus,Dionysus,Greek deity
Hephaestus,Hephaestus,Greek deity
Aglaea,Aglaea,Greek deity
Persephone,Persephone,Greek deity
Dike,Dike,allegorical Greek deity
Carpo,Carpo,Greek deity
Euphrosyne,Euphrosyne,Greek deity
Astraea,Astraea,Greek deity
Enyo,Enyo,war deity
Atropos,Atropos,Greek deity
Auxo,Auxo,Greek deity
Clotho,Clotho,Greek deity
Britomartis,Britomartis,Greek deity
Lachesis,Lachesis,Greek deity
Eunomia,Eunomia,Greek deity
Eileithyia,Eileithyia,Greek deity
Aphrodite Pandemos,Aphrodite Pandemos,Greek deity
Aristaeus,Aristaeus,Greek deity
Asclepius,Asclepius,health deity
Hymen,Hymen,nature deity
Phobos,Phobos,Greek deity
Deimos,Deimos,Greek deity
Eros,Eros,fertility deity
Enyalius,Enyalius,Greek deity
Himeros,Himeros,Greek deity
Adrestia,Adrestia,Greek deity
Anteros,Anteros,Greek deity
Harmonia,Harmonia,Greek deity
Aeolus,Aeolus,Greek deity
Despoina,Despoina,Greek deity
Phaunos,Phaunos,Greek deity
Benthesikyme,Benthesikyme,Greek deity
Staphylus,Staphylus,mythological Greek character
Phthonus,Phthonus,Greek deity
Aphrodite,Aphrodite,fertility deity
Cadmilus,Cadmilus,mythological Greek character
Eucleia,Eucleia,mythological Greek character
Philophrosyne,Philophrosyne,Greek deity
Telesphorus,Telesphorus,Greek deity
Hygieia,Hygieia,Greek deity
Aegle,Aegle,Greek deity
Aceso,Aceso,mythological Greek character
Panacea,Panacea,Greek deity
Crotus,Crotus,mythological Greek character
Circe,Circe,Greek deity
Phobetor,Phobetor,Greek deity
Morpheus,Morpheus,Greek deity
Phantasos,Phantasos,Greek deity
Ctesius,Ctesius,Greek deity
Eupraxia,Eupraxia,Greek deity
Homonoia,Homonoia,Greek deity
Eileithyia,Eileithyia,goddess
Philomelus,Philomelus,Greek deity
Plutus,Plutus,Greek deity
Pothos,Pothos,mythological Greek character
Hermaphroditus,Hermaphroditus,Greek deity
Phosphorus,Phosphorus,personification
Hesperus,Hesperus,Greek deity
Limos,Limos,Greek deity
Adikia,Adikia,Greek deity
Neikea,Neikea,Greek deity
Algos,Algos,Greek deity
Selene,Selene,goddess
Hera,Hera,Olympian god
Demeter,Demeter,Greek deity
Poseidon,Poseidon,Olympian god
Hestia,Hestia,household deity
Zeus,Zeus,Olympian god
Hades,Hades,Olympian god
Eris,Eris,Greek deity
Helios,Helios,solar deity
Eos,Eos,Greek deity
Zelus,Zelus,Greek deity
Bia,Bia,Greek deity
Kratos,Kratos,Greek deity
Nike,Nike,goddess
Penia,Penia,personification
Amechania,Amechania,Greek deity
Amphitrite,Amphitrite,sea deity
Psyche,Psyche,mythological Greek character
Hypnos,Hypnos,Greek deity
Aetna,Aetna,Greek nymph
Eros,Eros,personification
Methone,Methone,naiad
Asterius,Asterius,Giants
Hippolytos,Hippolytos,Giants
Anax,Anax,Giants
Pallas,Pallas,Giants
Aristaeus,Aristaeus,Giants
Astraios,Astraios,Giants
Eurytos,Eurytos,Giants
Hoplodamus,Hoplodamus,Giants
Athos,Athos,Giants
Cottus,Cottus,Hecatoncheires
Otus,Otus,Giants
Peloreus,Peloreus,Giants
Colophonus,Colophonus,Giants
Corydon,Corydon,Giants
Effra,Effra,Giants
Halie,Halie,Greek nymph
Enceladus,Enceladus,Giants
Damysos,Damysos,Giants
Alpos,Alpos,Giants
Mimas,Mimas,Giants
Clytius,Clytius,Giants
Aura,Aura,Anemoi
Hyrpace,Hyrpace,Greek nymph
Thoosa,Thoosa,Greek nymph
Polemos,Polemos,personification
Eurymedon,Eurymedon,Giants
Oceanus,Oceanus,titan
Tethys,Tethys,titan
Typhon,Typhon,Giants
Aphrodite,Aphrodite,goddess
Aegaeon,Aegaeon,Greek water deities
Briareus,Briareus,Hecatoncheires
Gyges,Gyges,Hecatoncheires
Polybotes,Polybotes,Giants
Ephialtes,Ephialtes,Giants
Porphyrion,Porphyrion,Giants
Glauce,Glauce,Greek nymph
Gration,Gration,Giants
Alcyoneus,Alcyoneus,Giants
Nemesis,Nemesis,Okeanid
Uranus,Uranus,Greek primordial deity
Gaia,Gaia,Greek primordial deity
Erebos,Erebos,Greek primordial deity
Nyx,Nyx,goddess
Aether,Aether,Greek primordial deity
Chaos,Chaos,Greek primordial deity
Emphytus,Emphytus,Giants
Hybris,Hybris,daemon
Thalassa,Thalassa,Greek primordial deity
Phorcys,Phorcys,chthonic deities
Lycus,Lycus,Telchines
Echidna,Echidna,drakaina
Cronus,Cronus,titan
Mnemosyne,Mnemosyne,titan
Rhea,Rhea,titan
Themis,Themis,titan
Hyperion,Hyperion,titan
Iapetos,Iapetos,titan
Coeus,Coeus,titan
Phoebe,Phoebe,titan
Theia,Theia,titan
Kreios,Kreios,titan
Dione,Dione,titan
Damon,Damon,Telchines
Geras,Geras,allegorical Greek deity
Aergia,Aergia,Greek deity
Nereus,Nereus,Greek water deities
Ceto,Ceto,Greek water deities
Thaumas,Thaumas,Greek water deities
Eurybia,Eurybia,Greek water deities
Ananke,Ananke,allegory
Chronos,Chronos,Greek primordial deity
