char1Label,char1TypeLabelSample,relationLabel,char2Label,char2TypeLabelSample
Pandia,lunar deity,father,Zeus,King of the Gods
Pasithea,Greek deity,father,Zeus,King of the Gods
Thallo,mythological Greek character,father,Zeus,King of the Gods
Thalia,Greek deity,father,Zeus,King of the Gods
Hebe,Olympian god,father,Zeus,King of the Gods
Hecate,goddess,father,Zeus,King of the Gods
Zagreus,Greek deity,father,Zeus,King of the Gods
Calligeneia,mythological Greek character,father,Zeus,King of the Gods
Adrasteia,Greek deity,father,Zeus,King of the Gods
Eirene,Greek deity,father,Zeus,King of the Gods
Angelos,Greek deity,father,Zeus,King of the Gods
Caerus,Greek deity,father,Zeus,King of the Gods
Melinoe,Greek deity,father,Zeus,King of the Gods
Athena,Olympian god,father,Zeus,King of the Gods
Apollo,Greek deity,father,Zeus,King of the Gods
Artemis,Olympian god,father,Zeus,King of the Gods
Basileia,Greek deity,father,Zeus,King of the Gods
Ares,Greek deity,father,Zeus,King of the Gods
Dionysus,Greek deity,father,Zeus,King of the Gods
Hephaestus,Greek deity,father,Zeus,King of the Gods
Aglaea,Greek deity,father,Zeus,King of the Gods
Persephone,Greek deity,father,Zeus,King of the Gods
Dike,allegorical Greek deity,father,Zeus,King of the Gods
Carpo,Greek deity,father,Zeus,King of the Gods
Euphrosyne,Greek deity,father,Zeus,King of the Gods
Astraea,Greek deity,father,Zeus,King of the Gods
Enyo,war deity,father,Zeus,King of the Gods
Atropos,Greek deity,father,Zeus,King of the Gods
Auxo,Greek deity,father,Zeus,King of the Gods
Clotho,Greek deity,father,Zeus,King of the Gods
Britomartis,Greek deity,father,Zeus,King of the Gods
Lachesis,Greek deity,father,Zeus,King of the Gods
Eunomia,Greek deity,father,Zeus,King of the Gods
Eileithyia,Greek deity,father,Zeus,King of the Gods
Aphrodite Pandemos,Greek deity,father,Zeus,King of the Gods
Aristaeus,Greek deity,father,Apollo,Greek deity
Asclepius,health deity,father,Apollo,Greek deity
Hymen,nature deity,father,Apollo,Greek deity
Phobos,Greek deity,father,Ares,Greek deity
Deimos,Greek deity,father,Ares,Greek deity
Eros,fertility deity,father,Ares,Greek deity
Enyalius,Greek deity,father,Ares,Greek deity
Himeros,Greek deity,father,Ares,Greek deity
Adrestia,Greek deity,father,Ares,Greek deity
Anteros,Greek deity,father,Ares,Greek deity
Harmonia,Greek deity,father,Ares,Greek deity
Aeolus,Greek deity,father,Poseidon,Olympian god
Despoina,Greek deity,father,Poseidon,Olympian god
Phaunos,Greek deity,father,Poseidon,Olympian god
Benthesikyme,Greek deity,father,Poseidon,Olympian god
Zagreus,Greek deity,father,Hades,Olympian god
Staphylus,mythological Greek character,father,Dionysus,Greek deity
Pasithea,Greek deity,father,Dionysus,Greek deity
Phthonus,Greek deity,father,Dionysus,Greek deity
Hymen,nature deity,father,Dionysus,Greek deity
Aphrodite,fertility deity,father,Zeus,Olympian god
Cadmilus,mythological Greek character,father,Hephaestus,Greek deity
Eucleia,mythological Greek character,father,Hephaestus,Greek deity
Philophrosyne,Greek deity,father,Hephaestus,Greek deity
Telesphorus,Greek deity,father,Asclepius,health deity
Hygieia,Greek deity,father,Asclepius,health deity
Aegle,Greek deity,father,Asclepius,health deity
Aceso,mythological Greek character,father,Asclepius,health deity
Panacea,Greek deity,father,Asclepius,health deity
Crotus,mythological Greek character,father,Pan,Greek deity
Circe,Greek deity,father,Helios,solar deity
Phobetor,Greek deity,father,Hypnos,Greek deity
Morpheus,Greek deity,father,Hypnos,Greek deity
Phantasos,Greek deity,father,Hypnos,Greek deity
Ctesius,Greek deity,father,Soter,Greek deity
Eupraxia,Greek deity,father,Soter,Greek deity
Homonoia,Greek deity,father,Soter,Greek deity
